Number of Vertices,Time Taken (seconds),Hamiltonian Path Found (0/1)
1,3.814697265625e-06,1
1,3.0994415283203125e-06,1
1,9.5367431640625e-07,1
2,1.1920928955078125e-05,1
2,3.0994415283203125e-06,1
2,3.0994415283203125e-06,1
3,7.867813110351562e-06,0
3,3.0994415283203125e-06,1
3,6.9141387939453125e-06,0
4,2.47955322265625e-05,0
4,2.193450927734375e-05,0
4,1.1920928955078125e-06,0
5,9.322166442871094e-05,0
5,9.107589721679688e-05,0
5,8.344650268554688e-06,1
6,2.1457672119140625e-06,0
6,0.00023508071899414062,1
6,6.008148193359375e-05,1
7,0.003648042678833008,0
7,0.0035588741302490234,0
7,0.004458904266357422,0
8,3.886222839355469e-05,1
8,0.003269195556640625,1
8,0.0005269050598144531,1
9,0.2688319683074951,0
9,0.0006678104400634766,1
9,0.0006678104400634766,1
10,0.04693770408630371,1
10,2.671712875366211,0
10,0.03125309944152832,1
11,30.42607593536377,0
11,0.5598268508911133,1
11,0.35857391357421875,1
12,131.5730575213431,0
12,340.4574627876282,0
12,0.05173134803771973,1
13,33.13588094711304,1
13,26.854891061782837,1
13,5.412101745605469e-05,1
14,4.914978981018066,1
